"Country","GDPPerCapita","LifeExpectancy"
"Albania",20940,79.6
"Algeria",15960,76.3
"Argentina",26930,77.4
"Australia",59440,83.1
"Brunei Darussalam",79540,75.3
"Cabo Verde",8900,76.1
"Cambodia",6500,70.7
"Chile",27880,81.2
"Colombia",18390,77.7
"Cote d'Ivoire",6300,61.9
"Czechia",45390,79.9
"Denmark",70180,81.9
"Equatorial Guinea",12210,63.7
"Germany",65180,80.5
"Israel",46720,83.2
"Korea, Rep.",53100,83.4
"Latvia",36450,75.7
"Lithuania",43910,77
"Madagascar",1570,63.6
"Malaysia",31880,76.7
"Maldives",19050,81
"Mali",2770,60.4
"Mauritania",5840,68.5
"Mauritius",26730,73.4
"Mongolia",16350,72.1
"Namibia",10340,67.4
"North Macedonia",22030,75.3
"Palau",16130,69.3
"Panama",34660,79.6
"Philippines",10950,69.8
"Poland",41590,78.5
"Portugal",41040,82.3
"Russian Federation",38910,73.3
"Saudi Arabia",65890,78.7
"Seychelles",29200,75
"Slovak Republic",36640,78
"Somalia, Fed. Rep.",1420,58.8
"South Africa",13110,66.1
"Sri Lanka",12410,77.5
"Switzerland",79630,84.1
"Tanzania",3540,67
"Tonga",7250,72.9
"United Arab Emirates",84670,82.9
"United Kingdom",51330,81.2
"United States",74140,78.4
"Viet Nam",13220,74.6
"West Bank and Gaza",6450,65.2
